Date/Time,OPEN OFFICE 1-01:Zone Air Temperature [C](Hourly),OPEN OFFICE 1-01:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 1-01:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 1-01:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OPEN OFFICE 1-02:Zone Air Temperature [C](Hourly),OPEN OFFICE 1-02:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 1-02:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 1-02:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OPEN OFFICE 1-03:Zone Air Temperature [C](Hourly),OPEN OFFICE 1-03:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 1-03:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 1-03:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OPEN OFFICE 2-04:Zone Air Temperature [C](Hourly),OPEN OFFICE 2-04:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 2-04:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 2-04:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OPEN OFFICE 2-05:Zone Air Temperature [C](Hourly),OPEN OFFICE 2-05:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 2-05:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 2-05:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OPEN OFFICE 2-06:Zone Air Temperature [C](Hourly),OPEN OFFICE 2-06:Zone Air Relative Humidity [%](Hourly),OPEN OFFICE 2-06:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OPEN OFFICE 2-06:Zone Thermostat Cooling Setpoint Temperature [C](Hourly) 
 07/21  01:00:00,17.596385664502964,80.63283151438424,15.599999999999996,26.699999999999992,17.502103696561498,81.1385747723789,15.599999999999996,26.699999999999992,17.58050101151294,80.66167999459844,15.599999999999996,26.699999999999992,17.963655179211305,79.61127277314439,15.599999999999996,26.699999999999992,17.775858012030184,80.76508580318414,15.599999999999996,26.699999999999992,17.92238600072857,79.84393731643895,15.599999999999996,26.699999999999992 
 07/21  02:00:00,17.473078370969194,81.80378491354152,15.599999999999996,26.699999999999992,17.396444318392422,82.28919162206306,15.599999999999996,26.699999999999992,17.462003067073763,81.83342214692617,15.599999999999996,26.699999999999992,17.814798341791484,80.6340312370221,15.599999999999996,26.699999999999992,17.64856740901929,81.69863656130613,15.599999999999996,26.699999999999992,17.779759898053594,80.84196621831036,15.599999999999996,26.699999999999992 
 07/21  03:00:00,17.373104917235207,82.5543398397131,15.599999999999996,26.699999999999992,17.310652970197488,82.9825915274868,15.599999999999996,26.699999999999992,17.365983596054352,82.56975220728079,15.599999999999996,26.699999999999992,17.687370760814225,81.4770518763079,15.599999999999996,26.699999999999992,17.54041742654851,82.45083667145997,15.599999999999996,26.699999999999992,17.657894509491207,81.65905461938316,15.599999999999996,26.699999999999992 
 07/21  04:00:00,17.283419046826747,83.65158285793713,15.599999999999996,26.699999999999992,17.233301538922802,83.97762547504105,15.599999999999996,26.699999999999992,17.27982569845202,83.63504679501581,15.599999999999996,26.699999999999992,17.56703340046177,82.85629072761981,15.599999999999996,26.699999999999992,17.43764521341245,83.71364442246767,15.599999999999996,26.699999999999992,17.542632425101782,83.00241048474885,15.599999999999996,26.699999999999992 
 07/21  05:00:00,17.20116862916881,86.30431058793017,15.599999999999996,26.699999999999992,17.161334171508667,86.52852138683413,15.599999999999996,26.699999999999992,17.20376384111155,86.24118710817474,15.599999999999996,26.699999999999992,17.454185754818646,85.64108322870776,15.599999999999996,26.699999999999992,17.3401786352544,86.41768287959506,15.599999999999996,26.699999999999992,17.436221433492708,85.75427349950633,15.599999999999996,26.699999999999992 
 07/21  06:00:00,17.17499502830012,86.80098049042401,15.599999999999996,26.699999999999992,17.134400252019166,87.10219507108128,15.599999999999996,26.699999999999992,17.24613753920695,86.38662808738381,15.599999999999996,26.699999999999992,17.420324658853684,85.98626702223788,15.599999999999996,26.699999999999992,17.31289777402374,86.76189990854017,15.599999999999996,26.699999999999992,17.448599464492524,85.85898263080223,15.599999999999996,26.699999999999992 
 07/21  07:00:00,16.735291911254688,81.96268809647513,15.599999999999996,24.0,16.711716049902567,82.68612156096906,15.599999999999996,24.0,16.948364555479316,81.03638852764114,15.599999999999996,24.0,16.900677363443297,79.57777879859604,15.599999999999996,24.0,16.792057526389367,80.6772802292899,15.599999999999996,24.0,17.035930878383756,79.06143369055569,15.599999999999996,24.0 
 07/21  08:00:00,16.620086001818855,73.37037247768805,15.599999999999996,24.0,16.5816558250238,74.19820244461387,15.599999999999996,24.0,16.9305488027447,72.11100830348254,15.599999999999996,24.0,16.778927794541683,70.20848091791213,15.599999999999996,24.0,16.658483676110553,71.18944224753635,15.599999999999996,24.0,17.006332949925365,69.31398350149631,15.599999999999996,24.0 
 07/21  09:00:00,16.687486206588595,68.54369798286253,15.599999999999996,24.0,16.627044569186136,69.23151560936098,15.599999999999996,24.0,17.03845161161441,67.11408391542098,15.599999999999996,24.0,16.832334111567608,66.12054991322982,15.599999999999996,24.0,16.69878943377596,66.96331554306131,15.599999999999996,24.0,17.120228382087344,64.97088170541628,15.599999999999996,24.0 
 07/21  10:00:00,16.791206152576542,65.7036629228299,15.599999999999996,24.0,16.707827496462304,66.33167900699908,15.599999999999996,24.0,17.133207653208068,64.31729007340729,15.599999999999996,24.0,16.928512405649595,64.06002348264785,15.599999999999996,24.0,16.779512559875357,64.8797944746763,15.599999999999996,24.0,17.241188838009318,62.82115950370761,15.599999999999996,24.0 
 07/21  11:00:00,16.90102103748752,63.95546992235998,15.599999999999996,24.0,16.79601682993785,64.58405849973371,15.599999999999996,24.0,17.187536567531897,62.798904470334946,15.599999999999996,24.0,17.039145194400394,62.84235100252473,15.599999999999996,24.0,16.87406089258362,63.687184156169685,15.599999999999996,24.0,17.33756800422492,61.67181923740579,15.599999999999996,24.0 
 07/21  12:00:00,17.00268039219024,62.84665253056409,15.599999999999996,24.0,16.88027228138066,63.496553212721494,15.599999999999996,24.0,17.20394514182947,62.032037626795756,15.599999999999996,24.0,17.14867297904495,62.015648756923724,15.599999999999996,24.0,16.969360870389988,62.89645748483351,15.599999999999996,24.0,17.400438562778398,61.03695198648821,15.599999999999996,24.0 
 07/21  13:00:00,17.102256801038198,62.06897977920235,15.599999999999996,24.0,16.954380461471143,62.79286875723465,15.599999999999996,24.0,17.23165488398696,61.539649416862574,15.599999999999996,24.0,17.2597100975862,61.35174685469565,15.599999999999996,24.0,17.060095018724063,62.299649835414975,15.599999999999996,24.0,17.461709583776372,60.57371287694482,15.599999999999996,24.0 
 07/21  14:00:00,17.253498432530364,61.23026614407994,15.599999999999996,24.0,17.024840888976588,62.25673163264832,15.599999999999996,24.0,17.29342040956242,61.05318121032286,15.599999999999996,24.0,17.413210374450816,60.56977513329479,15.599999999999996,24.0,17.15380249900663,61.73990423446103,15.599999999999996,24.0,17.546973461973124,60.06184695206927,15.599999999999996,24.0 
